Step,TotalE
474,21465.8
475,21465.8
476,21465.8
477,21465.8
478,21465.8
479,21465.8
480,21465.8
481,21466
482,21466
483,21466
484,21466
485,21466
486,21466
487,21466
488,21466
489,21466
490,21466
491,21466.2
492,21466.2
493,21466.2
494,21466.2
495,21466.2
496,21466.2
497,21466.2
498,21466.2
499,21466.2
500,21466.2
501,21466.4
502,21466.4
503,21466.4
504,21466.4
505,21466.4
506,21466.4
507,21466.4
508,21466.4
509,21466.4
510,21466.4
511,21466.6
512,21466.6
513,21466.6
514,21466.6
515,21466.6
516,21466.6
517,21466.6
518,21466.6
519,21466.6
520,21466.6
521,21466.8
522,21466.8
523,21466.8
524,21466.8
525,21466.8
526,21466.8
527,21466.8
528,21466.8
529,21466.8
530,21466.8
531,21467
532,21467
533,21467
534,21467
535,21467
536,21467
537,21467
538,21467
539,21467
540,21467
541,21467.1
542,21467.1
543,21467.1
544,21467.1
545,21467.1
546,21467.1
547,21467.1
548,21467.1
549,21467.1
550,21467.1
551,21467.3
552,21467.3
553,21467.3
554,21467.3
555,21467.3
556,21467.3
557,21467.3
558,21467.3
559,21467.3
560,21467.3
561,21467.4
562,21467.4
563,21467.4
564,21467.4
565,21467.4
566,21467.4
567,21467.4
568,21467.4
569,21467.4
570,21467.4
571,21467.5
572,21467.5
573,21467.5
574,21467.5
575,21467.5
576,21467.5
577,21467.5
578,21467.5
579,21467.5
580,21467.5
581,21467.7
582,21467.7
583,21467.7
584,21467.7
585,21467.7
586,21467.7
587,21467.7
588,21467.7
589,21467.7
590,21467.7
591,21467.8
592,21467.8
593,21467.8
594,21467.8
595,21467.8
596,21467.8
597,21467.8
598,21467.8
599,21467.8
600,21467.8
601,21467.9
602,21467.9
603,21467.9
604,21467.9
605,21467.9
606,21467.9
607,21467.9
608,21467.9
609,21467.9
610,21467.9
611,21468
612,21468
613,21468
614,21468
615,21468
616,21468
617,21468
618,21468
619,21468
620,21468
621,21468.1
622,21468.1
623,21468.1
624,21468.1
625,21468.1
626,21468.1
627,21468.1
628,21468.1
629,21468.1
630,21468.1
631,21468.2
632,21468.2
633,21468.2
634,21468.2
635,21468.2
636,21468.2
637,21468.2
638,21468.2
639,21468.2
640,21468.2
641,21468.3
642,21468.3
643,21468.3
644,21468.3
645,21468.3
646,21468.3
647,21468.3
648,21468.3
649,21468.3
650,21468.3
651,21468.4
652,21468.4
653,21468.4
654,21468.4
655,21468.4
656,21468.4
657,21468.4
658,21468.4
659,21468.4
660,21468.4
661,21468.5
662,21468.5
663,21468.5
664,21468.5
665,21468.5
666,21468.5
667,21468.5
668,21468.5
669,21468.5
670,21468.5
671,21468.6
672,21468.6
673,21468.6
674,21468.6
675,21468.6
676,21468.6
677,21468.6
678,21468.6
679,21468.6
680,21468.6
681,21468.6
682,21468.6
683,21468.6
684,21468.6
685,21468.6
686,21468.6
687,21468.6
688,21468.6
689,21468.6
690,21468.6
691,21468.7
692,21468.7
693,21468.7
694,21468.7
695,21468.7
696,21468.7
697,21468.7
698,21468.7
699,21468.7
700,21468.7
701,21468.8
702,21468.8
703,21468.8
704,21468.8
705,21468.8
706,21468.8
707,21468.8
708,21468.8
709,21468.8
710,21468.8
711,21468.9
712,21468.9
713,21468.9
714,21468.9
715,21468.9
716,21468.9
717,21468.9
718,21468.9
719,21468.9
720,21468.9
721,21468.9
722,21468.9
723,21468.9
724,21468.9
725,21468.9
726,21468.9
727,21468.9
728,21468.9
729,21468.9
730,21468.9
731,21469
732,21469
733,21469
734,21469
735,21469
736,21469
737,21469
738,21469
739,21469
740,21469
741,21469
742,21469
743,21469
744,21469
745,21469
746,21469
747,21469
748,21469
749,21469
750,21469
751,21469.1
752,21469.1
753,21469.1
754,21469.1
755,21469.1
756,21469.1
757,21469.1
758,21469.1
759,21469.1
760,21469.1
761,21469.2
762,21469.2
763,21469.2
764,21469.2
765,21469.2
766,21469.2
767,21469.2
768,21469.2
769,21469.2
770,21469.2
771,21469.2
772,21469.2
773,21469.2
774,21469.2
775,21469.2
776,21469.2
777,21469.2
778,21469.2
779,21469.2
780,21469.2
781,21469.3
782,21469.3
783,21469.3
784,21469.3
785,21469.3
786,21469.3
787,21469.3
788,21469.3
789,21469.3
790,21469.3
791,21469.3
792,21469.3
793,21469.3
794,21469.3
795,21469.3
796,21469.3
797,21469.3
798,21469.3
799,21469.3
800,21469.3
801,21469.4
802,21469.4
803,21469.4
804,21469.4
805,21469.4
806,21469.4
807,21469.4
808,21469.4
809,21469.4
810,21469.4
811,21469.4
812,21469.4
813,21469.4
814,21469.4
815,21469.4
816,21469.4
817,21469.4
818,21469.4
819,21469.4
820,21469.4
821,21469.5
822,21469.5
823,21469.5
824,21469.5
825,21469.5
826,21469.5
827,21469.5
828,21469.5
829,21469.5
830,21469.5
831,21469.5
832,21469.5
833,21469.5
834,21469.5
835,21469.5
836,21469.5
837,21469.5
838,21469.5
839,21469.5
840,21469.5
841,21469.5
842,21469.5
843,21469.5
844,21469.5
845,21469.5
846,21469.5
847,21469.5
848,21469.5
849,21469.5
850,21469.5
851,21469.6
852,21469.6
853,21469.6
854,21469.6
855,21469.6
856,21469.6
857,21469.6
858,21469.6
859,21469.6
860,21469.6
861,21469.6
862,21469.6
863,21469.6
864,21469.6
865,21469.6
866,21469.6
867,21469.6
868,21469.6
869,21469.6
870,21469.6
871,21469.7
872,21469.7
873,21469.7
874,21469.7
875,21469.7
876,21469.7
877,21469.7
878,21469.7
879,21469.7
880,21469.7
881,21469.7
882,21469.7
883,21469.7
884,21469.7
885,21469.7
886,21469.7
887,21469.7
888,21469.7
889,21469.7
890,21469.7
891,21469.7
892,21469.7
893,21469.7
894,21469.7
895,21469.7
896,21469.7
897,21469.7
898,21469.7
899,21469.7
900,21469.7
901,21469.8
902,21469.8
903,21469.8
904,21469.8
905,21469.8
906,21469.8
907,21469.8
908,21469.8
909,21469.8
910,21469.8
911,21469.8
912,21469.8
913,21469.8
914,21469.8
915,21469.8
916,21469.8
917,21469.8
918,21469.8
919,21469.8
920,21469.8
921,21469.8
922,21469.8
923,21469.8
924,21469.8
925,21469.8
926,21469.8
927,21469.8
928,21469.8
929,21469.8
930,21469.8
931,21469.9
932,21469.9
933,21469.9
934,21469.9
935,21469.9
936,21469.9
937,21469.9
938,21469.9
939,21469.9
940,21469.9
941,21469.9
942,21469.9
943,21469.9
944,21469.9
945,21469.9
946,21469.9
947,21469.9
948,21469.9
949,21469.9
950,21469.9
951,21469.9
952,21469.9
953,21469.9
954,21469.9
955,21469.9
956,21469.9
957,21469.9
958,21469.9
959,21469.9
960,21469.9
961,21469.9
962,21469.9
963,21469.9
964,21469.9
965,21469.9
966,21469.9
967,21469.9
968,21469.9
969,21469.9
970,21469.9
971,21470
972,21470
973,21470
974,21470
975,21470
976,21470
977,21470
978,21470
979,21470
980,21470
981,21470
982,21470
983,21470
984,21470
985,21470
986,21470
987,21470
988,21470
989,21470
990,21470
991,21470
992,21470
993,21470
994,21470
995,21470
996,21470
997,21470
998,21470
999,21470
